Size,Viable,Dead,Total
0,0,0,0
1,0,0,0
2,0,0,0
3,1,5,6
4,0,4,4
5,5,5,10
6,2,5,7
7,13,2,15
8,2,1,3
9,14,3,17
10,56,4,60
11,77,3,80
12,45,1,46
13,6,1,7
14,3,0,3
15,1,0,1
16,0,1,1
17,1,0,1
18,3,0,3
19,0,0,0
20,1,0,1
21,1,0,1
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
